Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Biathlon,Biathlon,"BERTHET, G.",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, C.",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, Maurice",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"VANDELLE, André",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"AUFDENBLATTEN, Adolf",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Alphonse",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Ant.",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"VAUCHER, D.",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"BREMER, V.E.",Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"ESKELINEN, A.",Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"HIRVONEN, H.",Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"LAPPALAINEN, Martti",Finland,Men,Military Patrol,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"MORTIAUX, René",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"MULDER, Charles",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VAN DEN BROECK, Paul",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VERSCHUEREN, Victor",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"WILLIEMS, Henri",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"NEVEU, Alfred",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHERRER, Eduard",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Alfred",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Heinrich",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"ARNOLD, Thomas",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"BROOME, Ralpf",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"RICHARDSON, Alexander",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"SOHER, Rodney",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Curling,Curling,"ALDEERT, H.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"ANDRE, Georges",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,BENEDIC,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"CANIVET, P.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"COURNOLLET, F.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"PLANQUE, R.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"AIKMAN, T.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"ASTLEY, D.-G.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"BROWN, V.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"COUSIN, R.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"JACKSON, V.-K.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MC LEOD, J.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MURRAY, T.-B.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"WELSH, R.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"AHLEN, J.P.",Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"KRONLUND, Carl Augustus Verner",Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"ODLUND, T.-M.",Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"PETERSEN, C.-W.",Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"PETTERSSON, C.-A.-F.",Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"SEVERIN, E.-O.",Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"WAHLBERG, K.-E.",Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"WETTERSTROM, V.-E.",Sweden,Men,Curling,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"ANDERSON, William",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"BOULDEN, C.-B.",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARR-HARRIS, Louis Howland",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARRUTHERS, Colin Gordon",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARRUTHERS, Eric Dudley",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CLARKSON, Guy E.",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CUTHBERT, Ross George",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"HOLMES, George",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"JUKES, Hamilton",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"PATTON, B.-N.",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"PITBLADO, Edward",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"SEXTON, Blane Nathaniel",United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CAMERON, Jack",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"COLLETT, Ernest J.",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC CAFFERY, Albert",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC MUNN, Harold",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MUNRO, Duncan",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"RAMSAY, W.-Beattie",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"SLATER, Cyril",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"SMITH, Reginald",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"WATSON, Harry",Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"ABEL, Clarence John",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"DRURY, Herbert L.",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"GERAN, N.",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LACROIX, Alphonse",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LANGLEY, John Arthur",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LYONS, John Sharkey",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC CARTHY, Justin",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"RICE, Willard",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"SMALL, Irving Wheeler",United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"SYNNOTT, Francis Allen",United States,Men,Ice Hockey,Silver
1924,Chamonix,Skating,Figure skating,"GAUTSCHI, Georges",Switzerland,Men,Individual,Bronze
1924,Chamonix,Skating,Figure skating,"GRAFSTRÖM, Gillis",Sweden,Men,Individual,Gold
1924,Chamonix,Skating,Figure skating,"BÖCKL, Willy",Austria,Men,Individual,Silver
1924,Chamonix,Skating,Figure skating,"MUCKELT, Ethel",United Kingdom,Women,Individual,Bronze
1924,Chamonix,Skating,Figure skating,"SZABO-PLANK, Herma",Austria,Women,Individual,Gold
1924,Chamonix,Skating,Figure skating,"LOUGHRAN, Beatrix",United States,Women,Individual,Silver
1924,Chamonix,Skating,Figure skating,"BRUNET, Andrée",France,Women,Pairs,Bronze
1924,Chamonix,Skating,Figure skating,"BRUNET, Pierre",France,Men,Pairs,Bronze
1924,Chamonix,Skating,Figure skating,"BERGER, Alfred",Austria,Men,Pairs,Gold
1924,Chamonix,Skating,Figure skating,"ENGELMANN, Helene",Austria,Women,Pairs,Gold
1924,Chamonix,Skating,Figure skating,"JAKOBSSON, Ludowika",Finland,Women,Pairs,Silver
1924,Chamonix,Skating,Figure skating,"JAKOBSSON, Walter",Finland,Men,Pairs,Silver
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",Norway,Men,10000M,Bronze
1924,Chamonix,Skating,Speed skating,"SKUTNABB, Julius",Finland,Men,10000M,Gold
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",Finland,Men,10000M,Silver
1924,Chamonix,Skating,Speed skating,"MOEN, Sigurd",Norway,Men,1500M,Bronze
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",Finland,Men,1500M,Gold
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",Norway,Men,1500M,Silver
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",Norway,Men,5000M,Bronze
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",Finland,Men,5000M,Gold
1924,Chamonix,Skating,Speed skating,"SKUTNABB, Julius",Finland,Men,5000M,Silver
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",Finland,Men,500M,Bronze
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",Norway,Men,500M,Bronze
1924,Chamonix,Skating,Speed skating,"JEWTRAW, Charles",United States,Men,500M,Gold
1924,Chamonix,Skating,Speed skating,"OLSEN, Oskar",Norway,Men,500M,Silver
1924,Chamonix,Skating,Speed skating,"SKUTNABB, Julius",Finland,Men,Combined (4 Events),Bronze
1924,Chamonix,Skating,Speed skating,"THUNBERG, Clas",Finland,Men,Combined (4 Events),Gold
1924,Chamonix,Skating,Speed skating,"LARSEN, Roald",Norway,Men,Combined (4 Events),Silver
1924,Chamonix,Skiing,Cross Country Skiing,"NIKU, Tapani",Finland,Men,18KM,Bronze
1924,Chamonix,Skiing,Cross Country Skiing,"HAUG, Thorleif",Norway,Men,18KM,Gold
1924,Chamonix,Skiing,Cross Country Skiing,"GROTTUMSBRAATEN, Johan",Norway,Men,18KM,Silver
1924,Chamonix,Skiing,Cross Country Skiing,"GROTTUMSBRAATEN, Johan",Norway,Men,50KM,Bronze
1924,Chamonix,Skiing,Cross Country Skiing,"HAUG, Thorleif",Norway,Men,50KM,Gold
1924,Chamonix,Skiing,Cross Country Skiing,"STRÖMSTAD, Thoralf",Norway,Men,50KM,Silver
1924,Chamonix,Skiing,Nordic Combined,"GROTTUMSBRAATEN, Johan",Norway,Men,Individual,Bronze
1924,Chamonix,Skiing,Nordic Combined,"HAUG, Thorleif",Norway,Men,Individual,Gold
1924,Chamonix,Skiing,Nordic Combined,"STRÖMSTAD, Thoralf",Norway,Men,Individual,Silver
1924,Chamonix,Skiing,Ski Jumping,"HAUGEN, Anders",United States,Men,K90 Individual (70M),Bronze
1924,Chamonix,Skiing,Ski Jumping,"THAMS, Jacob Tullin",Norway,Men,K90 Individual (70M),Gold
1924,Chamonix,Skiing,Ski Jumping,"BONNA, Narve",Norway,Men,K90 Individual (70M),Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"HESS, Hans",Germany,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"HUBER, Sebastian",Germany,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"KILIAN, Hanns",Germany,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"KREMPL, Valentin",Germany,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"NÄGLE, Hanns",Germany,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,Bobsleigh,"FISKE, William",United States,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"GRAY, Clifford Barton",United States,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"MASON, Geoffrey Travers",United States,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"PARKE, Richard",United States,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"TUCKER, Nion",United States,Men,Five-Man,Gold
1928,St.Moritz,Bobsleigh,Bobsleigh,"DOE, Thomas",United States,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"GRANGER, David",United States,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"HEATON, Jennison",United States,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"HINE, Lyman",United States,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Bobsleigh,"O'BRIEN, Jay James",United States,Men,Five-Man,Silver
1928,St.Moritz,Bobsleigh,Skeleton,"NORTHESK, David, Earl of",United Kingdom,Men,Individual,Bronze
1928,St.Moritz,Bobsleigh,Skeleton,"HEATON, Jennison",United States,Men,Individual,Gold
1928,St.Moritz,Bobsleigh,Skeleton,"HEATON, John",United States,Men,Individual,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"ANDREOSSI, Giannin",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"ANDREOSSI, Mezzi",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"BREITER, Robert",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"DUFOUR, Louis",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"FASEL, Charles",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"GEROMINI, Albert",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"KRAATZ, Fritz",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"MARTIGNONI, Arnold",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"MENG, Heini",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"MOROSANI, Anton",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"RÜEDI, Luzius",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"TORRIANI, Richard",Switzerland,Men,Ice Hockey,Bronze
1928,St.Moritz,Ice Hockey,Ice Hockey,"DELAHAY, Charles",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"FISHER, Franlyn Wood",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"HUDSON, Henry Louis",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"MUELLER, Norbert Edward",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PLAXTON, Herbert Alfred",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PLAXTON, Hugh John",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PLAXTON, Rogers Hayward",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"PORTER, John Chester",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"SULLIVAN, Frank Gerald",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"SULLIVAN, Joseph Taylor",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"TAYLOR, Ross Croft",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"TROTTIER, David",Canada,Men,Ice Hockey,Gold
1928,St.Moritz,Ice Hockey,Ice Hockey,"ABRAHAMSSON, Carl",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"BERGMAN, Emil",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"HOLMQVIST, Birger",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"JOHANSSON, Gustaf",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"JOHANSSON, Henry",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"JOHANSSON, Nils",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"KARLBERG, Ernst",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"LARSSON, Erik",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"LINDE, Bertil",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"ÖBERG, Sigfrid",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"PETERSEN, Wilhelm",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Ice Hockey,Ice Hockey,"SUCKSDORFF, Kurt",Sweden,Men,Ice Hockey,Silver
1928,St.Moritz,Skating,Figure skating,"VAN ZEEBROECK, Robert",Belgium,Men,Individual,Bronze
1928,St.Moritz,Skating,Figure skating,"GRAFSTRÖM, Gillis",Sweden,Men,Individual,Gold
1928,St.Moritz,Skating,Figure skating,"BÖCKL, Willy",Austria,Men,Individual,Silver
1928,St.Moritz,Skating,Figure skating,"LOUGHRAN, Beatrix",United States,Women,Individual,Bronze
1928,St.Moritz,Skating,Figure skating,"HENIE, Sonja",Norway,Women,Individual,Gold
1928,St.Moritz,Skating,Figure skating,"BURGER, Fritzi",Austria,Women,Individual,Silver
1928,St.Moritz,Skating,Figure skating,"BRUNNER, Melitta",Austria,Women,Pairs,Bronze
1928,St.Moritz,Skating,Figure skating,"WREDE, Ludwig",Austria,Men,Pairs,Bronze
1928,St.Moritz,Skating,Figure skating,"BRUNET, Andrée",France,Women,Pairs,Gold
1928,St.Moritz,Skating,Figure skating,"BRUNET, Pierre",France,Men,Pairs,Gold
1928,St.Moritz,Skating,Figure skating,"KAISER, Otto",Austria,Men,Pairs,Silver
1928,St.Moritz,Skating,Figure skating,"SCHOLZ, Lilly",Austria,Women,Pairs,Silver
1928,St.Moritz,Skating,Speed skating,"BALLANGRUD, Ivar",Norway,Men,1500M,Bronze
1928,St.Moritz,Skating,Speed skating,"THUNBERG, Clas",Finland,Men,1500M,Gold
1928,St.Moritz,Skating,Speed skating,"EVENSEN, Bernt",Norway,Men,1500M,Silver
1928,St.Moritz,Skating,Speed skating,"EVENSEN, Bernt",Norway,Men,5000M,Bronze
1928,St.Moritz,Skating,Speed skating,"BALLANGRUD, Ivar",Norway,Men,5000M,Gold
1928,St.Moritz,Skating,Speed skating,"SKUTNABB, Julius",Finland,Men,5000M,Silver
1928,St.Moritz,Skating,Speed skating,"FRIMAN, Jaakko",Finland,Men,500M,Bronze
1928,St.Moritz,Skating,Speed skating,"LARSEN, Roald",Norway,Men,500M,Bronze
1928,St.Moritz,Skating,Speed skating,"FARRELL, John O",United States,Men,500M,Bronze
1928,St.Moritz,Skating,Speed skating,"THUNBERG, Clas",Finland,Men,500M,Gold
1928,St.Moritz,Skating,Speed skating,"EVENSEN, Bernt",Norway,Men,500M,Gold
1928,St.Moritz,Skiing,Cross Country Skiing,"ÖDEGAARD, Reidar",Norway,Men,18KM,Bronze
1928,St.Moritz,Skiing,Cross Country Skiing,"GROTTUMSBRAATEN, Johan",Norway,Men,18KM,Gold
1928,St.Moritz,Skiing,Cross Country Skiing,"HEGGE, Ole",Norway,Men,18KM,Silver
1928,St.Moritz,Skiing,Cross Country Skiing,"ANDERSSON, Volger",Sweden,Men,50KM,Bronze
1928,St.Moritz,Skiing,Cross Country Skiing,"HEDLUND, Per Erik",Sweden,Men,50KM,Gold
1928,St.Moritz,Skiing,Cross Country Skiing,"JONSSON, Gustav",Sweden,Men,50KM,Silver
1928,St.Moritz,Skiing,Nordic Combined,"SNERSRUD, John",Norway,Men,Individual,Bronze
1928,St.Moritz,Skiing,Nordic Combined,"GROTTUMSBRAATEN, Johan",Norway,Men,Individual,Gold
1928,St.Moritz,Skiing,Nordic Combined,"VINJARENGEN, Hans",Norway,Men,Individual,Silver
1928,St.Moritz,Skiing,Ski Jumping,"ANDERSEN, Alf",Norway,Men,K90 Individual (70M),Gold
1928,St.Moritz,Skiing,Ski Jumping,"RUUD, Sigmund",Norway,Men,K90 Individual (70M),Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"BREHME, Albert",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"GRAU, Fritz",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HOPMANN, Helmut",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HUBER, Sebastian",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HUTH, Werner",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"KILIAN, Hanns",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"KROTKI, Rudolf",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"LUDWIG, Max",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"MEHLHHORN, Hans",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"ROSSNER, Heinrich",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"ZAHN, Werner",Germany,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"EAGAN, Edward",United States,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"FISKE, William",United States,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"GRAY, Clifford Barton",United States,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"O'BRIEN, Jay James",United States,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, J. Hubert",United States,Men,Four-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"ASHFORTH, Albert",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"BRYANT, Precy D.",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"GOODRICH, Hunter",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"HACKNEY, Clement",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"HOMBURGER, Henry A.",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"HORTON, Edmund C",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"LIPSON, Howard S",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"MARTIN, Harry G",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, Curtis",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, Francis Paul",United States,Men,Four-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"BRYANT, Precy D.",United States,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HEATON, John",United States,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"HOMBURGER, Henry A.",United States,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"MARTIN, Harry G",United States,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"MINTON, Robert",United States,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, J. Hubert",United States,Men,Two-Man,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,"ARTHUR, Adams",United States,Men,Two-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"STEVENS, Curtis",United States,Men,Two-Man,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,"CAPADRUTT, Reto",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"FONJALLAZ, Gaston",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"FONJALLAZ, Gustave",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"FONJALLAZ, René",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"GEIER, Oscar",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"JENNY, Charles",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"KLOETTA, Antoine",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,"STAUFFER, William",Switzerland,Men,Two-Man,Silver
1932,Lake Placid,Ice Hockey,Ice Hockey,"BALL, Rudolf",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"HEINRICH, Alfred",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"HERKER, Erich",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"JÄNECKE, Gustav",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"KORFF, Werner",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"LEINWEBER, Walter",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"RÖMER, Erich",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"SCHRÖTTLE, Martin",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"SLEVOGT, Marquardt",Germany,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,"STROBL, Georg",Germany,Men,Ice Hockey,Bronze
